Master PCN,Name,Final_Subdivision_Name,Unified_Group_Name,Source,Renamed
643471805,VERSAILLES VILLAS FILED IN,VERSAILLES VILLAS FILED IN,VERSAILLES VILLAS FILED,Grouped,True
642472202,VIA VERDE PL 1,VIA VERDE PL 1,VIA VERDE 1,Grouped,True
642472242,VIA VERDE PL 4,VIA VERDE PL 1,VIA VERDE 1,Grouped,True
642472329,VIA VERDE PL 3,VIA VERDE PL 4,VIA VERDE 4,Grouped,True
642470407,VICTORIA ISLES REPL,VICTORIA ISLES REPL,VICTORIA ISLES,Grouped,True
643473212,TIERRA DEL MAR COND,VILLA DEL MAR COND,VILLA DEL MAR,Grouped,True
643473029,VILLA DEL RIO IN,VILLA DEL RIO IN,VILLA DEL RIO,Grouped,True
643472928,VILLA DEL VERDE COND,VILLA DEL VERDE COND,VILLA DEL VERDE,Grouped,True
643473206,VILLA DEL MAR COND NLY 235 FT OF SLY 2208.10 FT OF GOV LT 2 EAST OF SR A1A,VILLA DEL VERDE COND,VILLA DEL VERDE,Grouped,True
643470829,VILLA ESTO COND DECL FILED 12-30-83,VILLA ESTO COND DECL,VILLA ESTO COND,Grouped,True
643471619,VILLA MARE BCH & YACHT CB CONDO (DEACT),VILLA MARE BCH YACHT,VILLA MARE BCH,Grouped,True
643470815,VILLA RICA AMENDED PLAT IN,VILLA RICA AMENDED PLAT,VILLA RICA AMENDED,Grouped,True
643470805,VILLA RICA REPLAT IN PB27P28,VILLA RICA REPLAT IN,VILLA RICA IN,Grouped,True
643470804,VILLA RICA IN PB14 PGS73 TO 82 INC,VILLA RICA IN PB14,VILLA RICA IN,Grouped,True
643473033,VILLA VALENCIA COND,VILLA VALENCIA COND,VILLA VALENCIA COND,Grouped,False
643472108,VILLAS AT RED REEF CONDO,VILLAS AT RED REEF,VILLAS AT RED,Grouped,True
643470823,VILLAS DE LA COSTA COND DECL FILED 8-22-80,VILLAS DE LA COSTA,VILLAS DE LA,Grouped,True
643470527,VILLAS OF BERKLEY COND DECL FILED 7-8-82,VILLAS OF BERKLEY COND,VILLAS OF BERKLEY,Grouped,True
642472327,VININGS 2 AT TOWN PLACE,VININGS 2 AT TOWN,VININGS 2 AT,Grouped,True
642470227,VINTAGE ESTATES,VINTAGE ESTATES,VINTAGE ESTATES,Grouped,False
642470315,VINTAGE ISLE,VINTAGE ISLE,VINTAGE ISLE,Grouped,False
642470218,VINTAGE PLACE,VINTAGE PLACE,VINTAGE PLACE,Grouped,False
643472918,VISTA DEL LAGO AMNDED PL IN,VISTA DEL LAGO AMNDED,VISTA DEL LAGO,Grouped,True
643470802,VISTA HILLS IN,VISTA HILLS IN,VISTA HILLS IN,Grouped,False
642472211,VISTA VERDE SEC 1 OF VIA VERDE,VISTA VERDE SEC 1,VISTA VERDE SEC,Grouped,True
642472234,VISTA VERDE SEC THREE OF VIA VERDE,VISTA VERDE SEC 1,VISTA VERDE SEC,Grouped,True
642472212,VISTA VERDE SECTION TWO,VISTA VERDE SECTION TWO,VISTA VERDE SECTION,Grouped,True
