Master PCN,Name,Final_Subdivision_Name,Unified_Group_Name,Source,Renamed
1243462020,RIDGEWOOD HEIGHTS,RIDGEWOOD HEIGHTS,RIDGEWOOD HEIGHTS,Grouped,False
12434616B9,RIEKSE,RIEKSE,RIEKSE,Grouped,False
12434616C7,RIEKSE REPL,RIEKSE REPL,RIEKSE,Grouped,True
1243461731,CARVER SQUARE IN,RIKER SQUARE IN,RIKER SQUARE IN,Grouped,True
1243461611,RIKER SQUARE IN,RIKER SQUARE IN,RIKER SQUARE IN,Grouped,False
1243462168,RIO DEL REY SHORES REPL,RIO DEL REY SHORES,RIO DEL REY,Grouped,True
1243462104,RIO DEL REY SHORES IN,RIO DEL REY SHORES,RIO DEL REY,Grouped,True
1243462103,RIO DEL REY IN,RIO DEL REY IN,RIO DEL REY,Grouped,True
1242461403,ROCKLAND PARK IN,ROCKLAND PARK IN,ROCKLAND PARK IN,Grouped,False
1243460914,ROSEDALE PARK PROP REV IN,ROSEDALE PARK PROP REV,ROSEDALE PARK PROP,Grouped,True
1243461744,ROSEMONT GARDENS UNIT A,ROSEMONT GARDENS UNIT A,ROSEMONT GARDENS UNIT,Grouped,True
1243462031,ROSEMONT GARDENS UNIT B,ROSEMONT GARDENS UNIT A,ROSEMONT GARDENS UNIT,Grouped,True
1243462016,SUNSET PARK DELRAY IN,ROSEMONT PARK DELRAY IN,ROSEMONT PARK DELRAY,Grouped,True
1243462033,ROSEMONT VILLAS UNIT B,ROSEMONT VILLAS UNIT A,ROSEMONT VILLAS UNIT,Grouped,True
1243462032,ROSEMONT VILLAS UNIT A,ROSEMONT VILLAS UNIT A,ROSEMONT VILLAS UNIT,Grouped,True
12434616L1,ROYAL ATLANTIC IN DELRAY BEACH CONDO,ROYAL ATLANTIC IN DELRAY,ROYAL ATLANTIC IN,Grouped,True
1243461841,ROYAL COMMERCIAL PK OF DELRAY,ROYAL COMMERCIAL PK OF,ROYAL COMMERCIAL PK,Grouped,True
1243461860,ROYAL COMMERCIAL PARK OF DELRAY PL 2,ROYAL COMMERCIAL PK OF,ROYAL COMMERCIAL PK,Grouped,True
1243460913,ROYAL PALM GARDENS REV PL IN,ROYAL PALM GARDENS REV,ROYAL PALM GARDENS,Grouped,True
1243460918,ROYAL PALM GARDENS PL 3 IN,ROYAL PALM GARDENS REV,ROYAL PALM GARDENS,Grouped,True
1243462082,RPOS DELRAY,RPOS DELRAY,RPOS DELRAY,Grouped,False
1243461609,RUNNYMEDE IN,RUNNYMEDE IN,RUNNYMEDE IN,Grouped,False
1243460979,S E ONEAL PLAT,S E ONEAL PLAT,S E ONEAL,Grouped,True
1242461215,SABAL LAKES PH 1,SABAL LAKES PH 1,SABAL LAKES PH,Grouped,True
1242461221,SABAL LAKES PH 4,SABAL LAKES PH 3,SABAL LAKES PH,Grouped,True
1242461216,SABAL LAKES PH 2,SABAL LAKES PH 1,SABAL LAKES PH,Grouped,True
1242461217,SABAL LAKES PH 3,SABAL LAKES PH 2,SABAL LAKES PH,Grouped,True
1242461218,SABAL LAKES PH 2 REPL LTS 87 THRU 96 BLK 1,SABAL LAKES PH 1,SABAL LAKES PH,Grouped,True
1243463001,"SABAL PINE COND PART ONE,TWO,  THREE & FOUR",SABAL PINE COND PART,SABAL PINE COND,Grouped,True
1243463006,SABAL PINE EAST COND DECL FILED 10-31-80,SABAL PINE SOUTH COND,SABAL PINE SOUTH,Grouped,True
1243463004,"SABAL PINE SOUTH COND 1,2,3 &  4 IN DECL IN OR3156P1743,2932  P660,2960P1590 & 3156P1743",SABAL PINE SOUTH COND,SABAL PINE SOUTH,Grouped,True
1243460995,SALVATORI GALLOWAY PLAT,SALVATORI GALLOWAY PLAT,SALVATORI GALLOWAY PLAT,Grouped,False
12434616F7,SAN SEBASTIAN,SAN SEBASTIAN,SAN SEBASTIAN,Grouped,False
1243462102,SANBORN STONE SUB IN,SANBORN STONE SUB IN,SANBORN STONE IN,Grouped,True
1243462021,SANDS O SEA DELRAY BEACH IN,SANDS O SEA DELRAY,SANDS O SEA,Grouped,True
1243461670,WINSTON COND DECL FILED 3-4-80,SAVOY COND DECL FILED,SAVOY COND FILED,Grouped,True
1243461669,SAVOY COND DECL FILED 3-4-80,SAVOY COND DECL FILED,SAVOY COND FILED,Grouped,True
1243461622,S/D OF 16-46-43 FRAC E 1/2,SD OF 164643 W,SD OF 164643,Grouped,True
1243461630,S/D OF 16-46-43 LYG E OF CNL PER MAP OF TOWN OF LINTON,SD OF 164643 W,SD OF 164643,Grouped,True
1243462117,"S/D OF 21-46-43, GOV LTS 2 & 3 IN",SD OF 164643 LYG,SD OF 164643,Grouped,True
1243461742,S/D OF 17-46-43 IN,SD OF 164643 W,SD OF 164643,Grouped,True
1243462907,S/D OF 29-46-43 FRAC SECTION,SD OF 164643 FRAC,SD OF 164643,Grouped,True
1243461743,"S/D OF 17-46-43, N 1/2 OF SE 1/4 OF SE 1/4 OF SW 1/4 UNREC",SD OF 174643 IN,SD OF 174643,Grouped,True
1243462811,"S/D OF 28/29-46-43, REV PL OF  PORTIONS IN",SD OF 28294643 REV,SD OF 28294643,Grouped,True
1243463212,S/D OF 32-46-43 AS,SD OF 294643 FRAC,SD OF 294643,Grouped,True
1243460821,S/D OF 8-46-43,SD OF 84643 S,SD OF 84643,Grouped,True
1243460939,S/D OF 9-46-43 IN,SD OF 84643 S,SD OF 84643,Grouped,True
1243460817,"S/D OF 8-46-43, S 1/2 OF E 1/2 OF LOT 8 IN",SD OF 84643 S,SD OF 84643,Grouped,True
1243461616,"S/D OF 16-46-43, W 170 FT OF N 1/2 OF BLK 164 IN",SD OF 84643 S,SD OF 84643,Grouped,True
12434616A2,SEA FIELDS CLUB INC 300 S OCEAN BLVD DELRAY BEACH FL,SEA FIELDS CLUB INC,SEA FIELDS CLUB,Grouped,True
1243461624,SEA SPRAY ESTATES,SEA SPRAY ESTATES,SEA SPRAY ESTATES,Grouped,False
12434616G2,SEABREEZE ISLES,SEABREEZE ISLES,SEABREEZE ISLES,Grouped,False
12434616A6,SEABREEZE OF DELRAY COND DECL  FILED 10-7-86 OR5029P1339,SEABREEZE OF DELRAY COND,SEABREEZE OF DELRAY,Grouped,True
1243461620,SEABREEZE PARK DELRAY IN,SEABREEZE PARK DELRAY IN,SEABREEZE PARK DELRAY,Grouped,True
1243460426,SEACREST BLVD CONTINUING PRESBYTERIAN CHURCH,SEACREST BLVD CONTINUING PRESBYTERIAN,SEACREST BLVD CONTINUING,Grouped,True
1243461623,SEACREST HOTEL CORP IN,SEACREST HOTEL CORP IN,SEACREST HOTEL CORP,Grouped,True
